Received Log:

[9 jul. 2022 11:34:09 a. m.] ASCII:
#---INI---#
Visualiti;UNIX;SM1;SM2
ID;UXTIME;m3/m3;m3/m3
C136;1645369200;1.9;2.1
C136;1645372800;0.5;2.0
C136;1645376400;0.4;1.9
C136;1645380000;0.3;1.1
C136;1645383600;0.4;1.8
C136;1645387200;1.6;1.9
C136;1645390800;0.1;1.1
C136;1645394400;0.7;0.7
C136;1645398000;0.3;1.0
C136;1645401600;0.9;1.1
C136;1645405200;0.4;1.5
C136;1645408800;0.2;2.1
C136;1645412400;0.6;0.9
C136;1645416000;0.8;1.0
C136;1645419600;0.7;1.2
C136;1645423200;0.2;1.5
C136;1645426800;1.4;1.8
C136;1645430400;1.4;1.3
C136;1645434000;1.2;1.3
C136;1645437600;0.9;0.9
C136;1645441200;0.5;1.2
C136;1645444800;0.7;1.1
C136;1645448400;1.2;2.4
C136;1645452000;1.2;2.5
C136;1645455600;0.7;1.9
C136;1645459200;0.1;-0.2
C136;1645462800;-0.2;0.9
C136;1645466400;0.8;1.2
C136;1645470000;0.3;1.3
C136;1645473600;-0.3;1.1
C136;1645477200;-0.8;0.4
C136;1645480800;0.1;1.0
C136;1645484400;0.3;0.4
C136;1645488000;-0.4;0.1
C136;1645491600;-0.1;0.1
C136;1645495200;-0.4;1.1
C136;1645498800;-0.3;0.3
C136;1645502400;0.4;0.2
C136;1645506000;-0.2;0.1
C136;1645509600;-0.6;0.4
C136;1645513200;0.7;1.3
C136;1645516800;-0.6;1.1
C136;1645520400;-0.4;0.4
C136;1645524000;0.8;1.8
C136;1645527600;0.6;1.8
C136;1645531200;0.5;0.7
C136;1645534800;-0.3;1.2
C136;1645538400;-0.6;0.7
C136;1645542000;0.3;0.8
C136;1645545600;-1.1;-0.1
C136;1645549200;0.1;-0.4
C136;1645552800;-1.4;-0.5
C136;1645556400;-1.4;-0.8
C136;1645560000;-0.8;-0.9
C136;1645563600;-1.5;-0.9
C136;1645567200;-0.2;-0.9
C136;1645570800;-0.1;-0.7
C136;1645574400;-1.1;-0.1
C136;1645578000;-0.1;1.2
C136;1645581600;-0.1;-0.1
C136;1645585200;-0.9;0.4
C136;1645588800;-0.7;0.2
C136;1645592400;0.4;1.1
C136;1645596000;0.3;0.1
C136;1645599600;-0.8;0.7
C136;1645603200;0.1;1.3
C136;1645606800;-0.4;0.1
C136;1645610400;-0.4;0.3
C136;1645614000;-0.0;-0.0
C136;1645617600;0.9;1.2
C136;1645621200;-0.5;-0.1
C136;1645624800;0.1;-0.1
C136;1645628400;-0.9;-0.5
C136;1645632000;-0.6;0.5
C136;1645635600;-0.7;0.3
C136;1645639200;-1.4;-0.1
C136;1645642800;-1.5;-0.7
C136;1645646400;-1.0;0.4
C136;1645650000;-0.0;-0.6
C136;1645653600;0.2;0.0
C136;1645657200;0.1;0.5
C136;1645660800;-1.0;0.2
C136;1645664400;-0.9;0.4
C136;1645668000;0.1;-0.4
C136;1645671600;0.1;-0.3
C136;1645675200;-0.1;1.1
C136;1645678800;-0.7;-0.2
C136;1645682400;-0.5;0.1
C136;1645686000;0.8;0.3
C136;1645689600;-0.8;0.3
C136;1645693200;0.5;1.5
C136;1645696800;-0.3;0.0
C136;1645700400;-0.5;0.2
C136;1645704000;-0.5;0.2
C136;1645707600;0.9;0.8
C136;1645711200;-0.5;0.8
C136;1645714800;-0.4;0.9
C136;1645718400;-0.0;1.4
C136;1645722000;0.3;1.0
C136;1645725600;11.8;12.5
C136;1645729200;11.0;13.3
C136;1645732800;10.9;13.0
C136;1645736400;11.1;12.2
C136;1645740000;10.8;11.9
C136;1645743600;10.6;12.0
C136;1645747200;9.7;12.5
C136;1645750800;9.3;11.6
C136;1645754400;10.0;11.9
C136;1645758000;9.1;11.1
C136;1645761600;9.7;10.6
C136;1645765200;9.7;10.7
C136;1645768800;8.6;11.2
C136;1645772400;9.8;9.9
C136;1646427600;4.3;3.5
C136;1646431200;4.1;3.0
C136;1646434800;7.2;7.8
C136;1646438400;7.0;7.3
C136;1646442000;7.3;8.0
C136;1646445600;7.0;7.4
C136;1646449200;6.9;7.0
C136;1646452800;6.8;7.0
C136;1646456400;7.3;7.1
C136;1646460000;7.1;7.5
C136;1646463600;6.5;6.2
C136;1646467200;6.3;6.1
C136;1646470800;6.7;6.2
C136;1646474400;7.1;6.6
C136;1646478000;6.6;6.7
C136;1646481600;6.8;6.1
C136;1646485200;6.3;5.7
C136;1646488800;6.5;6.4
C136;1646492400;6.5;6.3
C136;1646496000;5.7;5.2
C136;1646499600;6.1;5.4
C136;1646503200;5.7;5.4
C136;1646506800;5.3;4.8
C136;1646510400;6.1;5.5
C136;1646514000;5.5;5.3
C136;1646517600;5.5;5.1
C136;1646521200;6.0;5.6
C136;1646524800;5.3;4.7
C136;1646528400;6.0;5.0
C136;1646532000;5.3;4.7
C136;1646535600;5.9;5.5
C136;1646539200;6.0;5.1
C136;1646542800;5.9;4.9
C136;1646546400;5.6;4.4
C136;1646550000;5.0;4.2
C136;1646553600;5.9;5.2
C136;1646557200;4.9;4.1
C136;1646560800;5.3;4.5
C136;1646564400;5.0;4.1
C136;1646568000;5.1;4.6
C136;1646571600;5.1;4.5
C136;1646575200;4.9;3.5
C136;1646578800;5.1;4.3
C136;1646582400;4.9;4.1
C136;1646586000;4.0;3.4
C136;1646589600;4.4;3.6
C136;1646593200;4.9;4.4
C136;1646596800;4.5;4.1
C136;1646600400;4.7;3.4
C136;1646604000;4.8;3.7
C136;1646607600;4.3;3.3
C136;1646611200;4.6;3.2
C136;1646614800;4.5;3.4
C136;1646618400;3.9;3.7
C136;1646622000;4.5;3.7
C136;1646625600;4.1;4.1
C136;1646629200;4.4;4.1
C136;1646632800;4.6;3.6
C136;1646636400;3.6;3.1
C136;1646640000;4.1;3.6
C136;1646643600;4.0;3.1
C136;1646647200;3.6;3.0
C136;1646650800;4.1;3.9
C136;1646654400;3.7;3.5
C136;1646658000;4.2;3.1
C136;1646661600;4.3;3.5
C136;1646665200;4.0;3.7
C136;1646668800;4.0;3.1
C136;1646672400;3.4;2.9
C136;1646676000;3.4;3.1
C136;1646679600;3.7;3.3
C136;1646683200;3.0;3.1
C136;1646686800;2.8;2.9
C136;1646690400;3.3;3.1
C136;1646694000;2.7;2.6
C136;1646697600;3.4;2.3
C136;1646701200;3.5;2.9
C136;1646704800;2.5;2.4
C136;1646708400;2.7;2.5
C136;1646712000;2.5;2.2
C136;1646715600;2.5;2.0
C136;1646719200;2.9;2.0
C136;1646722800;2.9;2.1
C136;1646726400;2.9;2.7
C136;1646730000;2.6;2.5
C136;1646733600;3.1;2.4
C136;1646737200;2.9;2.8
C136;1646740800;3.1;2.8
C136;1646744400;2.8;2.7
C136;1646748000;2.6;1.8
C136;1646751600;2.5;2.1
C136;1646755200;1.6;0.9
C136;1646758800;1.2;1.7
C136;1646762400;0.8;1.0
C136;1646766000;0.5;0.9
C136;1646769600;0.8;0.8
C136;1646773200;0.5;0.5
C136;1646776800;1.1;0.9
C136;1646780400;0.9;0.8
C136;1646784000;0.7;-0.0
C136;1646787600;0.9;0.1
C136;1646791200;1.2;0.4
C136;1646794800;0.0;0.3
C136;1646798400;0.2;0.6
C136;1646802000;0.9;-0.1
C136;1646805600;0.6;0.3
C136;1646809200;0.2;-0.2
C136;1646812800;0.5;-0.3
C136;1646816400;0.4;0.6
C136;1646820000;0.6;0.3
C136;1646823600;-0.0;-0.6
C136;1646827200;0.4;-0.6
C136;1646830800;-0.2;0.4
C136;1646834400;-0.2;-0.6
C136;1646838000;0.1;-0.2
C136;1646841600;-0.9;-0.3
C136;1646845200;-1.3;-0.5
C136;1646848800;-0.7;-1.3
C136;1646852400;-1.0;-0.7
C136;1646856000;-0.7;-1.2
C136;1646859600;-1.0;-1.0
C136;1646863200;-0.9;-0.7
C136;1646866800;-1.5;-1.3
C136;1646870400;-0.9;-1.4
C136;1646874000;-1.5;-1.0
C136;1646877600;-1.5;-0.5
C136;1646881200;-1.2;-1.5
C136;1646884800;-0.8;-0.9
C136;1646888400;-1.7;-0.6
C136;1646892000;-0.9;-1.4
C136;1646895600;-1.6;-0.8
C136;1646899200;-1.5;-1.1
C136;1646902800;-1.6;-1.2
C136;1646906400;-1.4;-1.3
C136;1646910000;-0.8;-0.7
C136;1646913600;-1.8;-0.6
C136;1646917200;-1.3;-1.2
C136;1646920800;-1.3;-1.5
C136;1646924400;-2.1;-0.6
C136;1646928000;-1.5;-1.3
C136;1646931600;-2.1;-0.9
C136;1646935200;-2.5;-1.9
C136;1646938800;-2.6;-1.9
C136;1646942400;-2.8;-1.7
C136;1646946000;-2.0;-1.6
C136;1646949600;-2.2;-1.0
C136;1646953200;-2.0;-1.8
C136;1646956800;-2.0;-1.1
C136;1646960400;-1.8;-1.5
C136;1646964000;-1.9;-1.9
C136;1646967600;-2.0;-1.8
C136;1646971200;-2.0;-1.7
C136;1646974800;-2.0;-1.7
C136;1646978400;-2.2;-0.8
C136;1646982000;-1.9;-1.7
C136;1646985600;-1.6;-1.7
C136;1646989200;-1.9;-1.0
C136;1646992800;-1.7;-1.8
C136;1646996400;-1.6;-2.0
C136;1647000000;-1.9;-1.3
C136;1647003600;-2.5;-1.0
C136;1647007200;-2.0;-2.0
C136;1647010800;-2.2;-1.4
C136;1647014400;-2.5;-1.4
C136;1647018000;-2.7;-1.4
C136;1647021600;-3.0;-1.2
C136;1647025200;-2.8;-1.1
C136;1647028800;-2.1;-1.4
C136;1647032400;-1.7;-2.0
C136;1647036000;-2.1;-1.2
C136;1647039600;-2.0;-1.9
C136;1647043200;-1.7;-1.0
C136;1647046800;-2.6;-1.3
C136;1647050400;-2.0;-1.5
C136;1647054000;-2.0;-2.2
C136;1647057600;-1.8;-1.8
C136;1647061200;-2.7;-1.1
C136;1647064800;-1.9;-1.5
C136;1647068400;-2.5;-1.7
C136;1647072000;-2.4;-1.8
C136;1647075600;-2.4;-1.7
C136;1647079200;-1.5;-1.7
C136;1647082800;-2.5;-0.9
C136;1647086400;-2.1;-1.4
C136;1647090000;-2.7;-1.0
C136;1647093600;-2.2;-1.2
C136;1647097200;-2.0;-1.9
C136;1647100800;-1.9;-2.0
C136;1647104400;-2.0;-2.5
C136;1647108000;-3.1;-1.5
C136;1647111600;-2.7;-2.0
C136;1647115200;-2.0;-1.6
C136;1647118800;-2.5;-1.9
C136;1647122400;-2.7;-1.6
C136;1647126000;-2.9;-1.8
C136;1647129600;-2.2;-2.2
C136;1647133200;-2.5;-2.0
C136;1647136800;-2.3;-1.9
C136;1647140400;-2.1;-1.7
C136;1647144000;-2.1;-2.2
C136;1647147600;-2.0;-2.0
C136;1647151200;-2.6;-1.7
C136;1647154800;-2.5;-2.0
C136;1647158400;-2.1;-2.0
C136;1647162000;-1.9;-1.3
C136;1647165600;-2.5;-2.0
C136;1647169200;-2.1;-1.8
C136;1647172800;-2.5;-1.1
C136;1647176400;-2.5;-2.0
C136;1647180000;-2.5;-2.1
C136;1647183600;-2.1;-2.5
C136;1647187200;-2.8;-2.1
C136;1647190800;-3.1;-1.6
C136;1647194400;-2.5;-2.3
C136;1647198000;-3.2;-1.6
C136;1647201600;-3.1;-1.6
C136;1647205200;-2.5;-2.4
C136;1647208800;-2.7;-2.0
C136;1647212400;-3.1;-1.5
C136;1647216000;-2.8;-1.4
C136;1647219600;-2.6;-1.9
C136;1647223200;-2.6;-1.1
C136;1647226800;-2.0;-2.4
C136;1647230400;-2.5;-1.3
C136;1647234000;-2.8;-1.2
C136;1647237600;-2.0;-2.2
C136;1647241200;-2.9;-1.6
C136;1647244800;-2.8;-1.8
C136;1647248400;-2.7;-1.1
C136;1647252000;-1.9;-2.1
C136;1647255600;-2.8;-1.2
C136;1647259200;-3.0;-1.3
C136;1647262800;-2.3;-1.9
C136;1647266400;-2.7;-2.1
C136;1647270000;-2.3;-2.1
C136;1647273600;-2.8;-1.9
C136;1647277200;-3.1;-1.5
C136;1647280800;-2.6;-2.1
C136;1647446400;5.2;4.7
C136;1648123981;34.6;33.4
C136;1648126800;34.8;36.6
C136;1648130400;36.0;33.3
C136;1648134000;35.4;33.2
C136;1648137600;35.5;33.0
C136;1648141200;35.6;35.7
C136;1648144800;34.9;33.0
C136;1648148400;37.1;32.1
C136;1648152000;36.9;35.7
C136;1648155600;37.3;32.2
C136;1648159200;35.9;33.6
C136;1648162800;36.0;32.8
C136;1648166400;38.6;32.5
C136;1648170000;37.6;33.9
C136;1648173600;37.1;33.8
C136;1648177200;35.1;33.4
C136;1648180800;35.6;32.8
C136;1648184400;36.0;33.9
C136;1648188000;36.7;34.4
C136;1648191600;35.3;32.9
C136;1648195200;36.8;32.3
C136;1648198800;39.0;31.9
C136;1648202400;35.5;32.9
C136;1648206000;36.5;33.3
C136;1648209600;36.6;35.4
C136;1648213200;36.7;35.3
C136;1648216800;35.8;33.1
C136;1648220400;36.4;31.8
C136;1648224000;36.9;32.0
C136;1648227600;36.3;31.0
C136;1648231200;37.0;32.3
C136;1648234800;36.3;31.3
C136;1648238400;35.7;34.2
C136;1648242000;34.9;31.8
C136;1648245600;36.0;34.5
C136;1648249200;36.2;37.6
C136;1648252800;37.4;36.6
