Received Log:

[9 jul. 2022 11:39:57 a. m.] ASCII:
#---INICIO DATOS---#
Visualiti;UNIX;RG1
ID;UXTIME;mm
M146;1653871243;0.2
M146;1653871250;0.2
M146;1653871256;0.2
M146;1653871262;0.2
M146;1653871270;0.2
M146;1653871278;0.2
M146;1653871288;0.2
M146;1653871298;0.2
M146;1653871310;0.2
M146;1653871320;0.2
M146;1653871329;0.2
M146;1653871339;0.2
M146;1653871348;0.2
M146;1653871356;0.2
M146;1653871364;0.2
M146;1653871373;0.2
M146;1653871381;0.2
M146;1653871390;0.2
M146;1653871398;0.2
M146;1653871407;0.2
M146;1653871414;0.2
M146;1653871423;0.2
M146;1653871432;0.2
M146;1653871440;0.2
M146;1653871448;0.2
M146;1653871457;0.2
M146;1653871467;0.2
M146;1653871477;0.2
M146;1653871488;0.2
M146;1653871500;0.2
M146;1653871514;0.2
M146;1653871528;0.2
M146;1653871544;0.2
M146;1653871559;0.2
M146;1653871577;0.2
M146;1653871595;0.2
M146;1653871613;0.2
M146;1653871632;0.2
M146;1653871655;0.2
M146;1653871684;0.2
M146;1653871729;0.2
M146;1653871770;0.2
M146;1653871800;0.2
M146;1653871819;0.2
M146;1653871828;0.2
M146;1653871835;0.2
M146;1653871842;0.2
M146;1653871851;0.2
M146;1653871860;0.2
M146;1653871869;0.2
M146;1653871876;0.2
M146;1653871884;0.2
M146;1653871892;0.2
M146;1653871899;0.2
M146;1653871908;0.2
M146;1653871916;0.2
M146;1653871923;0.2
M146;1653871930;0.2
M146;1653871938;0.2
M146;1653871945;0.2
M146;1653871952;0.2
M146;1653871961;0.2
M146;1653871969;0.2
M146;1653871978;0.2
M146;1653871988;0.2
M146;1653871998;0.2
M146;1653872008;0.2
M146;1653872018;0.2
M146;1653872029;0.2
M146;1653872041;0.2
M146;1653872054;0.2
M146;1653872067;0.2
M146;1653872081;0.2
M146;1653872096;0.2
M146;1653872112;0.2
M146;1653872133;0.2
M146;1653872155;0.2
M146;1653872183;0.2
M146;1653872214;0.2
M146;1653872243;0.2
M146;1653872263;0.2
M146;1653872280;0.2
M146;1653872299;0.2
M146;1653872317;0.2
M146;1653872333;0.2
M146;1653872347;0.2
M146;1653872360;0.2
M146;1653872373;0.2
M146;1653872385;0.2
M146;1653872396;0.2
M146;1653872406;0.2
M146;1653872416;0.2
M146;1653872424;0.2
M146;1653872433;0.2
M146;1653872446;0.2
M146;1653872456;0.2
M146;1653872468;0.2
M146;1653872479;0.2
M146;1653872490;0.2
M146;1653872504;0.2
M146;1653872526;0.2
M146;1653872564;0.2
M146;1653872611;0.2
M146;1653872682;0.2
M146;1653872854;0.2
M146;1653872959;0.2
M146;1653873064;0.2
M146;1653873167;0.2
M146;1653873311;0.2
M146;1653873362;0.2
M146;1653873398;0.2
M146;1653873427;0.2
M146;1653873448;0.2
M146;1653873476;0.2
M146;1653873505;0.2
M146;1653873536;0.2
M146;1653873563;0.2
M146;1653873608;0.2
M146;1653873666;0.2
M146;1653873684;0.2
M146;1653873698;0.2
M146;1653873714;0.2
M146;1653873729;0.2
M146;1653873743;0.2
M146;1653873760;0.2
M146;1653873792;0.2
M146;1653873867;0.2
M146;1653874140;0.2
M146;1653874484;0.2
M146;1653874757;0.2
M146;1653874981;0.2
M146;1653875055;0.2
M146;1653875177;0.2
M146;1653875355;0.2
M146;1653875751;0.2
M146;1653886351;0.2
M146;1653886762;0.2
M146;1653886857;0.2
M146;1653886903;0.2
M146;1653886959;0.2
M146;1653886992;0.2
M146;1653887023;0.2
M146;1653887054;0.2
M146;1653887084;0.2
